Ticker,Sector,Industry
TSLA,Consumer Discretionary,Automobiles and Components
ACAD,Health Care,Biotechnology
ALNY,Health Care,Biotechnology
ASND,Health Care,Biotechnology
BBIO,Health Care,Biotechnology
BIIB,Health Care,Biotechnology
GILD,Health Care,Biotechnology
INCY,Health Care,Biotechnology
VRTX,Health Care,Biotechnology
ACM,Industrials,Capital Goods
ALLE,Industrials,Capital Goods
AME,Industrials,Capital Goods
AOS,Industrials,Capital Goods
CDW,Industrials,Capital Goods
DOV,Industrials,Capital Goods
EMR,Industrials,Capital Goods
GLW,Industrials,Capital Goods
GPC,Industrials,Capital Goods
ITW,Industrials,Capital Goods
JCI,Industrials,Capital Goods
KEYS,Industrials,Capital Goods
MMM,Industrials,Capital Goods
OTIS,Industrials,Capital Goods
PLUG,Industrials,Capital Goods
PWR,Industrials,Capital Goods
ROK,Industrials,Capital Goods
WMS,Industrials,Capital Goods
XYL,Industrials,Capital Goods
CTAS,Industrials,Commercial and Professional Services
WM,Industrials,Commercial and Professional Services
BIRD,Consumer Discretionary,Consumer Durables and Apparel
CPRI,Consumer Discretionary,Consumer Durables and Apparel
CROX,Consumer Discretionary,Consumer Durables and Apparel
DECK,Consumer Discretionary,Consumer Durables and Apparel
FIGS,Consumer Discretionary,Consumer Durables and Apparel
LEVI,Consumer Discretionary,Consumer Durables and Apparel
LULU,Consumer Discretionary,Consumer Durables and Apparel
NKE,Consumer Discretionary,Consumer Durables and Apparel
RL,Consumer Discretionary,Consumer Durables and Apparel
TPR,Consumer Discretionary,Consumer Durables and Apparel
DASH,Consumer Discretionary,Consumer Services
SBUX,Consumer Discretionary,Consumer Services
CNQ,Energy,Energy
CVE,Energy,Energy
CVX,Energy,Energy
EOG,Energy,Energy
HAL,Energy,Energy
OXY,Energy,Energy
SLB,Energy,Energy
SU,Energy,Energy
VLO,Energy,Energy
XOM,Energy,Energy
ADM,Consumer Staples,"Food, Beverage, and Tobacco"
CELH,Consumer Staples,"Food, Beverage, and Tobacco"
CHD,Consumer Staples,"Food, Beverage, and Tobacco"
CL,Consumer Staples,"Food, Beverage, and Tobacco"
DHI,Consumer Staples,"Food, Beverage, and Tobacco"
EL,Consumer Staples,"Food, Beverage, and Tobacco"
FIZZ,Consumer Staples,"Food, Beverage, and Tobacco"
GPRO,Consumer Staples,"Food, Beverage, and Tobacco"
GRMN,Consumer Staples,"Food, Beverage, and Tobacco"
HNST,Consumer Staples,"Food, Beverage, and Tobacco"
HSY,Consumer Staples,"Food, Beverage, and Tobacco"
KMB,Consumer Staples,"Food, Beverage, and Tobacco"
KO,Consumer Staples,"Food, Beverage, and Tobacco"
LEN,Consumer Staples,"Food, Beverage, and Tobacco"
MKC,Consumer Staples,"Food, Beverage, and Tobacco"
MNST,Consumer Staples,"Food, Beverage, and Tobacco"
PG,Consumer Staples,"Food, Beverage, and Tobacco"
PHM,Consumer Staples,"Food, Beverage, and Tobacco"
ABT,Health Care,Health Care Equipment and Services
ALC,Health Care,Health Care Equipment and Services
ALGN,Health Care,Health Care Equipment and Services
